date,open,high,low,close,volume
2024-02-08 05:00:00,94.41,126.585,94.0,113.89,106505653.0
2024-02-09 05:00:00,105.99,117.82,102.09,115.21,48096528.0
2024-02-12 05:00:00,120.16,164.0,118.69,148.97,111349666.0
2024-02-13 05:00:00,128.12,137.5,117.0,119.98,68563880.0
2024-02-14 05:00:00,133.81,134.84,121.02,126.4,42519550.0
2024-02-15 05:00:00,131.0,135.0,123.51,133.68,34996642.0
2024-02-16 05:00:00,129.5,135.98,123.05,128.34,26122331.0
2024-02-20 05:00:00,123.78,123.8,115.49,121.77,21117308.0
2024-02-21 05:00:00,117.76,125.4999,116.81,123.39,22418082.0
2024-02-22 05:00:00,132.87,138.5,128.51,128.53,29492398.0
2024-02-23 05:00:00,129.095,136.0,128.86,133.34,20317049.0
2024-02-26 05:00:00,139.0,149.92,138.1751,146.2,26547871.0
2024-02-27 05:00:00,144.905,147.33,137.0,137.95,17481267.0
2024-02-28 05:00:00,136.15,136.29,131.31,133.86,9682632.0
2024-02-29 05:00:00,136.28,141.22,135.45,141.04,10300023.0
2024-03-01 05:00:00,141.48,144.98,139.04,141.62,9856913.0
2024-03-04 05:00:00,145.39,148.4799,137.75,138.01,14294988.0
2024-03-05 05:00:00,135.5,136.37,130.0,134.07,9116025.0
2024-03-06 05:00:00,138.09,139.3369,133.2629,136.99,9063327.0
2024-03-07 05:00:00,140.0,146.54,138.81,140.85,14358584.0
2024-03-08 05:00:00,139.69,142.9,131.2,131.48,14132452.0
2024-03-11 04:00:00,126.6,130.7416,124.12,126.74,10174794.0
2024-03-12 04:00:00,125.0,129.99,121.3801,129.5,18220618.0
2024-03-13 04:00:00,129.0,132.7,125.8,131.27,9097646.0
2024-03-14 04:00:00,130.13,136.29,127.59,130.96,10070935.0
2024-03-15 04:00:00,128.71,134.2,126.12,126.97,8880494.0
2024-03-18 04:00:00,128.17,132.8,127.73,129.75,6216320.0
2024-03-19 04:00:00,125.5,127.1,121.52,124.59,8135365.0
2024-03-20 04:00:00,126.53,131.98,125.23,131.33,6861505.0
2024-03-21 04:00:00,134.7,137.0,132.0139,133.6,7568797.0
2024-03-22 04:00:00,133.81,136.1,132.5,134.15,6999592.0
2024-03-25 04:00:00,137.155,143.75,137.15,138.31,12928867.0
2024-03-26 04:00:00,141.1,145.0,126.91,127.96,21244452.0
2024-03-27 04:00:00,130.0,130.86,122.83,125.62,11317879.0
2024-03-28 04:00:00,125.68,128.32,124.16,124.99,7407193.0
2024-04-01 04:00:00,126.36,128.73,124.6406,126.91,5011885.0
2024-04-02 04:00:00,125.2,125.63,121.12,124.28,5042778.0
2024-04-03 04:00:00,123.0,125.9796,122.62,125.31,3875999.0
2024-04-04 04:00:00,126.5,127.98,121.82,122.01,5477260.0
2024-04-05 04:00:00,122.6,125.72,120.02,124.82,4537556.0
2024-04-08 04:00:00,124.82,130.5,123.39,129.25,6943866.0
2024-04-09 04:00:00,133.51,135.41,124.5,126.81,12997155.0
2024-04-10 04:00:00,124.99,127.6,123.895,125.18,4974491.0
2024-04-11 04:00:00,126.0,131.2,125.51,131.13,6139066.0
2024-04-12 04:00:00,128.99,130.3389,125.37,126.33,4950851.0
2024-04-15 04:00:00,126.2,126.87,120.95,122.32,5003304.0
2024-04-16 04:00:00,122.0,124.24,120.91,122.22,4071531.0
2024-04-17 04:00:00,121.87,122.6817,107.01,107.56,19639227.0
2024-04-18 04:00:00,106.32,107.2963,102.58,104.92,11961197.0
2024-04-19 04:00:00,100.0,103.01,85.61,87.19,29438997.0
2024-04-22 04:00:00,89.94,94.315,89.06,93.11,15199464.0
2024-04-23 04:00:00,97.32,98.37,95.05,96.04,11212389.0
