date,open,high,low,close,volume
2024-02-08 05:00:00,67.076,71.449,66.605,69.8,94137370.0
2024-02-09 05:00:00,71.005,74.517,70.8897,74.029,108347920.0
2024-02-12 05:00:00,76.134,81.0,74.507,77.301,168723210.0
2024-02-13 05:00:00,75.0,80.0,74.551,79.149,144804570.0
2024-02-14 05:00:00,82.331,88.603,82.088,88.055,201285710.0
2024-02-15 05:00:00,94.5,100.635,91.7713,100.4,252406000.0
2024-02-16 05:00:00,104.55,107.787,80.115,80.332,340383420.0
2024-02-20 05:00:00,79.0,80.2,69.25,78.757,254125560.0
2024-02-21 05:00:00,74.975,77.25,70.808,73.417,149629360.0
2024-02-22 05:00:00,86.499,100.354,83.4,97.552,253726990.0
2024-02-23 05:00:00,93.816,99.5,82.402,86.001,193843650.0
2024-02-26 05:00:00,88.447,89.5961,83.002,87.634,96078350.0
2024-02-27 05:00:00,86.294,86.9,81.4,85.111,69103680.0
2024-02-28 05:00:00,82.0,84.65,81.2,81.654,60324740.0
2024-02-29 05:00:00,83.9,89.052,83.9,86.612,88428580.0
2024-03-01 05:00:00,88.188,92.7,88.1,90.548,108816030.0
2024-03-04 05:00:00,103.9,115.5,102.034,107.434,201620930.0
2024-03-05 05:00:00,103.5,109.75,97.61,109.083,133044000.0
2024-03-06 05:00:00,115.8,116.95,109.2,112.47,118933380.0
2024-03-07 05:00:00,113.3,116.2045,109.03,115.976,88242570.0
2024-03-08 05:00:00,121.2,122.9,109.2,114.001,117505980.0
2024-03-11 04:00:00,110.025,111.1,102.5,108.022,71154930.0
2024-03-12 04:00:00,112.429,116.632,109.4001,116.3,67472960.0
2024-03-13 04:00:00,114.873,119.8,112.234,118.807,58759600.0
2024-03-14 04:00:00,117.5,119.563,111.0547,113.011,62445260.0
2024-03-15 04:00:00,112.345,113.5601,106.626,106.883,169640460.0
2024-03-18 04:00:00,110.7,114.779,95.206,100.068,115307200.0
2024-03-19 04:00:00,88.861,92.5,86.3,91.097,104843630.0
2024-03-20 04:00:00,90.0,90.55,85.5,89.647,76456740.0
2024-03-21 04:00:00,93.8,99.444,90.6158,97.161,85630130.0
2024-03-22 04:00:00,95.454,98.547,94.72,97.274,50691050.0
2024-03-25 04:00:00,97.275,107.274,96.7,104.279,70172400.0
2024-03-26 04:00:00,108.7,110.611,102.211,102.506,63563460.0
2024-03-27 04:00:00,104.212,104.7811,98.634,102.329,52578440.0
2024-03-28 04:00:00,100.862,103.3,99.702,101.003,34630920.0
2024-04-01 04:00:00,101.0,106.9,100.5,103.715,51852270.0
2024-04-02 04:00:00,100.0,101.26,97.509,100.991,42301010.0
2024-04-03 04:00:00,97.5,104.245,96.5825,101.557,61824340.0
2024-04-04 04:00:00,103.07,105.718,95.616,95.799,58166290.0
2024-04-05 04:00:00,96.8,98.199,93.202,94.802,53444820.0
2024-04-08 04:00:00,96.2495,96.4,90.2,92.85,43167160.0
2024-04-09 04:00:00,92.5,93.724,88.1,90.42,40322270.0
2024-04-10 04:00:00,87.6145,92.4,87.11,90.854,41373160.0
2024-04-11 04:00:00,91.2,94.5364,90.7193,93.728,36770340.0
2024-04-12 04:00:00,92.03,92.499,89.4,89.849,33322280.0
2024-04-15 04:00:00,91.2,93.636,88.108,88.275,42010890.0
2024-04-16 04:00:00,90.132,98.146,89.3,97.63,71214490.0
2024-04-17 04:00:00,99.2008,102.033,94.941,96.008,71674590.0
2024-04-18 04:00:00,96.188,97.299,91.746,92.848,43006770.0
2024-04-19 04:00:00,87.1,89.083,71.095,71.365,172385020.0
2024-04-22 04:00:00,73.192,73.384,67.1,71.702,93035300.0
2024-04-23 04:00:00,73.0,79.337,71.406,76.186,83426460.0
2024-04-24 04:00:00,78.899,80.699,73.705,75.472,67403860.0
2024-04-25 04:00:00,72.596,79.686,72.112,78.74,50816830.0
2024-04-26 04:00:00,79.922,86.1,78.805,85.744,70680250.0
2024-04-29 04:00:00,83.9,89.784,83.0,89.035,58663060.0
2024-04-30 04:00:00,87.6,91.084,85.108,85.88,73693010.0
2024-05-01 04:00:00,77.736,78.135,70.0,73.83,135362860.0
2024-05-02 04:00:00,76.716,76.821,70.912,76.252,64961800.0
2024-05-03 04:00:00,77.0,80.159,76.8,78.27,52329030.0
2024-05-06 04:00:00,79.183,83.3075,78.69,83.035,53428340.0
2024-05-07 04:00:00,81.1,83.42,80.626,81.929,40792640.0
2024-05-08 04:00:00,80.235,84.3769,80.038,82.264,37196040.0
2024-05-09 04:00:00,82.851,83.086,79.051,79.97,38820790.0
2024-05-10 04:00:00,81.744,83.339,79.325,79.85,37913380.0
2024-05-13 04:00:00,81.082,81.199,76.263,78.276,28147020.0
2024-05-14 04:00:00,77.5,82.924,76.677,82.237,49962230.0
2024-05-15 04:00:00,84.401,95.45,83.527,95.236,97528960.0
2024-05-16 04:00:00,92.4,97.102,90.1,90.44,70098470.0
2024-05-17 04:00:00,92.52,93.199,87.8,88.789,51923670.0
2024-05-20 04:00:00,90.2,92.525,87.005,90.394,53631300.0
2024-05-21 04:00:00,88.9,93.994,87.777,89.895,59188340.0
2024-05-22 04:00:00,91.012,91.165,86.2514,87.327,56322250.0
2024-05-23 04:00:00,93.449,97.231,83.566,84.738,114602310.0
2024-05-24 04:00:00,85.8,89.92,83.861,88.388,68504420.0
2024-05-28 04:00:00,89.9,90.965,86.5,87.472,62351370.0
2024-05-29 04:00:00,85.863,86.38,82.709,83.972,49323410.0
2024-05-30 04:00:00,83.2,84.524,81.52,82.794,47475750.0
2024-05-31 04:00:00,81.6,81.965,76.001,78.451,74079780.0
2024-06-03 04:00:00,80.2,80.605,74.122,77.059,61557580.0
2024-06-04 04:00:00,75.9,78.066,75.4,77.161,40782580.0
2024-06-05 04:00:00,79.5,82.254,78.018,80.252,63074890.0
2024-06-06 04:00:00,80.5,80.8,75.555,77.792,50339350.0
2024-06-07 04:00:00,76.364,78.291,75.847,76.911,34449350.0
2024-06-10 04:00:00,76.165,80.4,75.303,78.686,48789530.0
2024-06-11 04:00:00,78.0,78.498,76.3085,76.761,30387310.0
2024-06-12 04:00:00,78.5,80.1354,76.616,77.474,41190000.0
2024-06-13 04:00:00,78.5,88.317,78.4,87.11,116136820.0
2024-06-14 04:00:00,84.693,87.2,82.561,84.454,65987810.0
2024-06-17 04:00:00,85.74,92.191,82.809,88.741,89117640.0
2024-06-18 04:00:00,89.7,93.888,88.331,92.001,87620730.0
2024-06-20 04:00:00,96.129,101.402,90.032,91.7635,134329390.0
2024-06-21 04:00:00,90.01,91.795,86.322,90.526,74655810.0
2024-06-24 04:00:00,88.1,88.25,82.0,82.698,77210300.0
2024-06-25 04:00:00,84.651,85.722,82.3,84.312,47258620.0
2024-06-26 04:00:00,84.35,85.214,80.827,83.116,45500110.0
2024-06-27 04:00:00,83.101,89.2778,82.5624,89.036,71512840.0
2024-06-28 04:00:00,89.9,89.988,81.52,81.935,165059000.0
2024-07-01 04:00:00,83.144,83.2,77.381,81.232,71230470.0
2024-07-02 04:00:00,79.94,85.092,79.6286,83.717,54936300.0
2024-07-03 04:00:00,83.719,85.719,82.101,84.7,31978990.0
2024-07-05 04:00:00,84.73,86.67,82.825,84.658,48092530.0
2024-07-08 04:00:00,86.4,92.688,86.005,89.934,98215720.0
2024-07-09 04:00:00,90.783,93.455,88.302,89.561,65354940.0
2024-07-10 04:00:00,88.87,91.398,87.336,89.998,50402290.0
2024-07-11 04:00:00,91.035,91.514,86.581,88.922,56521950.0
2024-07-12 04:00:00,88.961,92.6,87.58,90.996,51600680.0
2024-07-15 04:00:00,94.0,96.33,88.2,89.768,86770320.0
2024-07-16 04:00:00,90.132,90.398,86.601,87.696,43653900.0
2024-07-17 04:00:00,84.55,84.665,81.48,81.631,57593860.0
2024-07-18 04:00:00,83.105,83.495,77.407,80.161,59696960.0
2024-07-19 04:00:00,78.823,82.1923,77.832,79.678,83512530.0
2024-07-22 04:00:00,80.64,80.875,76.54,78.628,49287410.0
2024-07-23 04:00:00,77.854,80.547,76.219,78.322,42112220.0
2024-07-24 04:00:00,76.5,77.365,70.51,71.156,67811550.0
2024-07-25 04:00:00,69.999,72.05,66.32,69.561,70477830.0
2024-07-26 04:00:00,71.061,72.429,69.755,71.219,43821840.0
2024-07-29 04:00:00,72.073,73.001,69.231,69.773,39195750.0
2024-07-30 04:00:00,70.5,70.7,65.631,66.631,48962760.0
2024-07-31 04:00:00,71.0,72.056,69.181,70.165,49679570.0
2024-08-01 04:00:00,70.456,72.445,65.858,67.224,54316650.0
2024-08-02 04:00:00,63.0,63.698,58.2455,62.465,77146610.0
2024-08-05 04:00:00,53.559,62.674,52.95,60.883,70790630.0
2024-08-06 04:00:00,61.601,62.879,58.882,61.694,111233110.0
2024-08-07 04:00:00,53.246,54.7,48.888,49.27,181205280.0
2024-08-08 04:00:00,49.7,52.8624,47.856,50.994,118237540.0
2024-08-09 04:00:00,51.0385,51.4958,49.204,50.876,59189630.0
2024-08-12 04:00:00,51.111,56.4,51.047,54.098,91752350.0
2024-08-13 04:00:00,56.384,58.387,54.863,56.743,81160440.0
2024-08-14 04:00:00,58.412,58.5305,54.6355,57.709,70012040.0
2024-08-15 04:00:00,58.448,63.675,57.3187,62.669,95603630.0
2024-08-16 04:00:00,62.401,63.973,61.2071,62.88,80612380.0
2024-08-19 04:00:00,62.2,62.979,59.528,62.362,68802480.0
2024-08-20 04:00:00,61.674,63.05,59.838,61.091,60604300.0
2024-08-21 04:00:00,61.289,62.875,60.178,62.378,57374950.0
2024-08-22 04:00:00,62.937,63.0815,60.224,60.482,61153240.0
2024-08-23 04:00:00,61.115,62.698,60.388,61.324,53373930.0
2024-08-26 04:00:00,61.0,61.818,55.524,56.251,90386120.0
